measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,67,Japan,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,156642.68461456284,190931.32885787837,128972.71932274236
1,Deaths,63,Ukraine,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,70708.57567074435,84419.24500150545,58170.49491955771
1,Deaths,61,Republic of Moldova,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,5145.28110751036,6024.58452658806,4204.111390538322
1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,245.6142954284797,319.27678569223485,180.84311027485637
1,Deaths,68,Republic of Korea,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,36705.850306548,45511.94584904272,29731.35811995008
1,Deaths,71,Australia,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,15437.906488510367,18552.267083475963,12624.413550569743
1,Deaths,69,Republic of Singapore,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,2042.6877103463892,2584.9142682914207,1574.8372006727766
1,Deaths,74,Principality of Andorra,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,83.33516265941431,106.21418198181765,64.20155296261751
1,Deaths,78,Kingdom of Denmark,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,8781.690731989938,10694.943936050848,7170.14923072738
1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,3662.608743859215,4410.539036642032,2969.6078526553524
1,Deaths,76,Kingdom of Belgium,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,12000.262112624276,14504.01398187429,9618.810805660703
1,Deaths,79,Republic of Finland,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,4339.304434876599,5317.658566960609,3459.16900865429
1,Deaths,81,Federal Republic of Germany,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,108598.12550122764,129945.83045651384,88503.0945812013
1,Deaths,75,Republic of Austria,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,9503.099507956553,11634.896789671502,7606.757075326754
1,Deaths,77,Republic of Cyprus,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1097.1657389708134,1366.582764819606,851.2747332129554
1,Deaths,82,Hellenic Republic,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,18741.12549870571,21805.48681461528,15943.953481735236
1,Deaths,84,Ireland,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,3922.7814214381583,4884.832834740155,3261.900848525227
1,Deaths,80,French Republic,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,57681.25077922718,68109.82907443168,48223.1104043425
1,Deaths,87,Grand Duchy of Luxembourg,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,459.9038254012101,559.925901040124,367.1932370957364
1,Deaths,83,Republic of Iceland,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,279.5217260515157,358.08631539366763,213.3737584893442
1,Deaths,89,Kingdom of the Netherlands,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,20706.24697174101,24607.65792266913,17346.445739334747
