ctry,iso3,sex_group,value
"Bonaire, Sint Eustatius and Saba",BES,female,2335
British Virgin Islands,VGB,female,2906
Cayman Islands,CYM,female,5883.5
Cuba,CUB,female,827611.5
Curaçao,CUW,female,13869
Dominica,DMA,female,6025
Dominican Republic,DOM,female,1495305.5
Grenada,GRD,female,11387.5
Guadeloupe,GLP,female,30638.5
Haiti,HTI,female,1822092.5
Jamaica,JAM,female,266879.5
Martinique,MTQ,female,25938.5
Montserrat,MSR,female,393.5
Puerto Rico,PRI,female,189205
Saint Barthélemy,BLM,female,1106.5
Saint Kitts and Nevis,KNA,female,4306
Saint Lucia,LCA,female,15773
Saint Martin (French part),MAF,female,2886.5
Saint Vincent and the Grenadines,VCT,female,10791.5
Sint Maarten (Dutch part),SXM,female,3055.5
Trinidad and Tobago,TTO,female,133018.5
Turks and Caicos Islands,TCA,female,3835.5
United States Virgin Islands,VIR,female,6798
Belize,BLZ,female,54190
Costa Rica,CRI,female,482936
El Salvador,SLV,female,773135
Guatemala,GTM,female,2869624.5
Honduras,HND,female,1610801
Mexico,MEX,female,15881579
Nicaragua,NIC,female,981503
Panama,PAN,female,549236.5
Argentina,ARG,female,4917780.5
Bolivia (Plurinational State of),BOL,female,1813276
Brazil,BRA,female,20622116.5
Chile,CHL,female,1676484.5
Colombia,COL,female,5276751
Ecuador,ECU,female,2200835.5
Falkland Islands (Malvinas),FLK,female,284.5
French Guiana,GUF,female,47354
Guyana,GUY,female,119358
Paraguay,PRY,female,962730.5
Peru,PER,female,4048404
Suriname,SUR,female,80175.5
Uruguay,URY,female,308564.5
Venezuela (Bolivarian Republic of),VEN,female,3603212.5
Bermuda,BMU,female,4373
Canada,CAN,female,2937183
Greenland,GRL,female,5655
Saint Pierre and Miquelon,SPM,female,404.5
United States of America,USA,female,29430020
Australia,AUS,female,2318164
New Zealand,NZL,female,462588.5
Fiji,FJI,female,124554.5
New Caledonia,NCL,female,30673.5
Papua New Guinea,PNG,female,1688526.5
Solomon Islands,SLB,female,144635
Vanuatu,VUT,female,59975
Guam,GUM,female,20978.5
